V	1	2	3	1&3	1&2&3
1500	117786	43	124865	1787	14
1525	118337	116	127691	1861	28
1550	114947	300	125546	1828	80
1575	128549	757	129436	1827	249
1600	127551	1751	131284	1843	587
1625	128204	3351	134213	1859	1119
1650	128634	5329	131384	1890	1428
1675	128860	7889	128064	1848	1571
1700	128641	11111	129291	1875	1662
1725	129554	18862	130067	1815	1660
1750	127625	43924	130924	1834	1695
1775	119732	70821	131098	1859	1727
1800	130415	91787	135149	1829	1710
1825	119721	100983	130939	1877	1757
1850	129063	108456	136933	1803	1695
1875	121924	115721	131275	1818	1707
1900	129124	124731	139023	1906	1778
1925	129222	133572	136182	1868	1744
1950	129864	146637	140104	1870	1737
1975	129545	160515	140515	1854	1719
